"","lc3","lc4","lc7"
"1",2159184,438052,16743
"2",2136899,443993,16995
"3",2114614,449934,17247
"4",2092329,455875,17499
"5",2070044,461816,17751
"6",2047759,467757,18003
"7",2025474,473698,18255
"8",2003189,479639,18507
"9",1980904,485580,18759
"10",1958619,491521,19011
"11",1936334,497462,19263
"12",1914049,503403,19515
"13",1891764,509344,19767
"14",1869479,515285,20019
"15",1847194,521226,20271
"16",1824909,527167,20523
"17",1802624,533108,20775
"18",1780339,539049,21027
"19",1758054,544990,21279
"20",1735769,550931,21531
"21",1713484,556872,21783
"22",1691199,562813,22035
